annee,boite,carrosserie,cote,energie,gouvernorat,image,kilometrage,lien,page,prix,puissance,titre,transmission,vendeur
2018,Automatique,,Très bon prix,Essence,Tunis,https://catalogue.automobile.tn/max/default_occas.jpg?t=1786809951,120000,https://www.automobile.tn/fr/occasion/ford/ecosport/129333,126,45000,8 cv,Ford Ecosport,Traction,
2021,Manuelle,,Prix équitable,Essence,Ariana,https://catalogue.automobile.tn/max/default_occas.jpg?t=1787223873,175000,https://www.automobile.tn/fr/occasion/seat/arona/129493,125,55000,6 cv,Seat Arona,Traction,
2024,Manuelle,,Aucune évaluation,Hybride,Sfax,https://catalogue.automobile.tn/max/default_occas.jpg?t=1787587524,64000,https://www.automobile.tn/fr/occasion/kia/stonic/129494,125,80000,6 cv,KIA Stonic,Traction,
2026,Automatique,,Très bon prix,Diesel,Sousse,https://catalogue.automobile.tn/max/default_occas.jpg?t=1787400319,1,https://www.automobile.tn/fr/occasion/toyota/hilux/129554,125,210000,4 cv,Toyota Hilux Double Cabine,Intégrale,
2002,Manuelle,,Aucune évaluation,Essence,Gafsa,https://catalogue.automobile.tn/max/default_occas.jpg?t=1787746434,280000,https://www.automobile.tn/fr/occasion/opel/zafira/129669,125,20000,8 cv,Opel Zafira,Intégrale,
2016,Manuelle,,Prix équitable,Essence,Ariana,https://catalogue.automobile.tn/max/default_occas.jpg?t=1787821979,135000,https://www.automobile.tn/fr/occasion/volkswagen/golf-7/127797,125,54000,5 cv,Volkswagen Golf 7,Traction,
2024,Automatique,,Prix équitable,Hybride,Tunis,https://catalogue.automobile.tn/max/default_occas.jpg?t=1787856357,50000,https://www.automobile.tn/fr/occasion/toyota/rav-4/129711,125,150000,9 cv,Toyota RAV 4,Traction,
2019,Manuelle,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/default_occas.jpg?t=1787995314,131000,https://www.automobile.tn/fr/occasion/peugeot/308/128819,125,39000,6 cv,Peugeot 308,Traction,
2017,Manuelle,,Bon prix,Essence,Sfax,https://catalogue.automobile.tn/max/default_occas.jpg?t=1788000796,145000,https://www.automobile.tn/fr/occasion/mazda/2-sedan/129758,125,33000,6 cv,Mazda 2 Sedan,Traction,
2021,Manuelle,,Prix équitable,Essence,Ben Arous,https://catalogue.automobile.tn/max/default_occas.jpg?t=1788016455,49000,https://www.automobile.tn/fr/occasion/geely/gx3/129767,125,47000,6 cv,Geely GX3,Traction,
2018,Manuelle,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/default_occas.jpg?t=1788109241,89000,https://www.automobile.tn/fr/occasion/ford/ecosport/129785,125,49000,7 cv,Ford Ecosport,Traction,
2021,Manuelle,,Bon prix,Diesel,Nabeul,https://catalogue.automobile.tn/max/default_occas.jpg?t=1788239022,80000,https://www.automobile.tn/fr/occasion/peugeot/partner/129825,124,50000,5 cv,Peugeot Partner,Traction,
2022,Automatique,,Aucune évaluation,Essence,Tunis,https://catalogue.automobile.tn/max/default_occas.jpg?t=1786979538,60000,https://www.automobile.tn/fr/occasion/volkswagen/golf-8/129392,124,180000,14 cv,Volkswagen Golf 8,Traction,
2021,Manuelle,,Bon prix,Essence,Ben Arous,https://catalogue.automobile.tn/max/default_occas.jpg?t=1788341751,190000,https://www.automobile.tn/fr/occasion/ford/ecosport/129859,124,45000,7 cv,Ford Ecosport,Traction,
2002,Automatique,,Aucune évaluation,Diesel,Ariana,https://catalogue.automobile.tn/max/default_occas.jpg?t=1788433874,455000,https://www.automobile.tn/fr/occasion/mitsubishi/pajero/129904,124,75000,12 cv,Mitsubishi Pajero,Intégrale,
2023,Automatique,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/default_occas.jpg?t=1785760714,73000,https://www.automobile.tn/fr/occasion/seat/arona/128931,124,72000,6 cv,Seat Arona,Traction,
2013,Manuelle,,Prix équitable,Essence,Ariana,https://catalogue.automobile.tn/max/2026/06/127874_max.jpeg?t=1785151316,230000,https://www.automobile.tn/fr/occasion/bmw/serie-1-5p/127874,124,39000,6 cv,BMW Série 1,Traction,
2002,Manuelle,,Aucune évaluation,Essence,Zaghouan,https://catalogue.automobile.tn/max/2026/07/128674_max.jpeg?t=1785312891,240000,https://www.automobile.tn/fr/occasion/citroen/saxo/128674,124,13000,4 cv,Citroën Saxo,Propulsion,
2007,Manuelle,,Aucune évaluation,Essence,Ariana,https://catalogue.automobile.tn/max/2026/07/128408_max.jpeg?t=1785159997,63000,https://www.automobile.tn/fr/occasion/fiat/palio/128408,124,19200,4 cv,Fiat Palio,Traction,
2024,Automatique,,Prix équitable,Essence,Sfax,https://catalogue.automobile.tn/max/2026/07/128678_max.jpeg?t=1785312888,37000,https://www.automobile.tn/fr/occasion/seat/ateca/128678,124,124000,8 cv,Seat Ateca,Traction,
2015,Automatique,,Prix équitable,Essence,La Manouba,https://catalogue.automobile.tn/max/2026/07/128681_max.jpeg?t=1785312875,220000,https://www.automobile.tn/fr/occasion/audi/a3-berline/128681,124,54000,5 cv,Audi A3 Berline,Traction,
2010,Manuelle,,Prix très élevé,Diesel,Zaghouan,https://catalogue.automobile.tn/max/2026/07/128447_max.jpeg?t=1785201734,299000,https://www.automobile.tn/fr/occasion/kia/sportage/128447,123,52000,10 cv,KIA Sportage,Intégrale,
2023,Manuelle,,Aucune évaluation,Essence,Le Kef,https://catalogue.automobile.tn/max/2026/07/128692_max.jpeg?t=1785226466,32000,https://www.automobile.tn/fr/occasion/citroen/c5-aircross/128692,123,69000,7 cv,Citroën C5 Aircross,Traction,
2015,Manuelle,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/07/128693_max.jpeg?t=1785223520,168000,https://www.automobile.tn/fr/occasion/ford/focus/128693,123,38000,6 cv,Ford Focus,Traction,
2026,Automatique,,Prix équitable,Hybride,Tunis,https://catalogue.automobile.tn/max/2026/07/128699_max.jpeg?t=1785234391,12000,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-a/128699,123,165000,9 cv,Mercedes-Benz Classe A,Traction,
2020,Manuelle,,Très bon prix,Essence,Sousse,https://catalogue.automobile.tn/max/2026/07/128700_max.jpeg?t=1785240852,67000,https://www.automobile.tn/fr/occasion/volkswagen/golf-8/128700,123,70000,5 cv,Volkswagen Golf 8,Traction,
2015,Automatique,,Bon prix,Essence,Ariana,https://catalogue.automobile.tn/max/2026/07/128701_max.jpeg?t=1785234335,160000,https://www.automobile.tn/fr/occasion/bmw/x3/128701,123,71500,9 cv,BMW X3,Intégrale,
2021,Automatique,,Prix élevé,Essence,Ariana,https://catalogue.automobile.tn/max/2026/07/128716_max.jpeg?t=1785312805,128000,https://www.automobile.tn/fr/occasion/bmw/x1/128716,123,123000,8 cv,BMW X1,Traction,
2020,Automatique,,Prix très élevé,Essence,Bizerte,https://catalogue.automobile.tn/max/2026/07/128723_max.jpeg?t=1785312613,85000,https://www.automobile.tn/fr/occasion/kia/sportage/128723,123,93000,8 cv,KIA Sportage,Traction,
2004,Automatique,,Prix très élevé,Diesel,Nabeul,https://catalogue.automobile.tn/max/2026/07/128684_max.jpeg?t=1785312845,450000,https://www.automobile.tn/fr/occasion/bmw/x5/128684,123,41000,13 cv,BMW X5,Intégrale,
1992,Manuelle,,Aucune évaluation,Diesel,Bizerte,https://catalogue.automobile.tn/max/2026/07/128724_max.jpeg?t=1785259591,220000,https://www.automobile.tn/fr/occasion/nissan/patrol/128724,123,73000,11 cv,Nissan Patrol,Propulsion,
2021,Manuelle,,Prix équitable,Essence,Le Kef,https://catalogue.automobile.tn/max/2026/07/128736_max.jpeg?t=1785312452,116000,https://www.automobile.tn/fr/occasion/volkswagen/golf-8/128736,122,77000,6 cv,Volkswagen Golf 8,Traction,
2020,Manuelle,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/07/128641_max.jpeg?t=1785077747,67000,https://www.automobile.tn/fr/occasion/suzuki/s-presso/128641,122,29500,4 cv,Suzuki S-Presso,Traction,
2018,Manuelle,,Prix élevé,Essence,Tunis,https://catalogue.automobile.tn/max/2026/07/128742_max.jpeg?t=1785312429,116000,https://www.automobile.tn/fr/occasion/suzuki/celerio/128742,122,30500,4 cv,Suzuki Celerio,Traction,
2010,Manuelle,,Prix élevé,Diesel,Monastir,https://catalogue.automobile.tn/max/2026/07/128743_max.jpeg?t=1785312419,199000,https://www.automobile.tn/fr/occasion/renault/megane/128743,122,36000,7 cv,Renault Megane,Traction,
2024,Automatique,,Prix très élevé,Diesel,Tunis,https://catalogue.automobile.tn/max/2026/07/128744_max.jpeg?t=1785312302,45000,https://www.automobile.tn/fr/occasion/ford/everest/128744,122,262000,13 cv,Ford Everest,Intégrale,
2019,Manuelle,,Prix équitable,Essence,Ariana,https://catalogue.automobile.tn/max/2026/07/128517_max.jpeg?t=1785317829,172000,https://www.automobile.tn/fr/occasion/mazda/3/128517,122,46500,6 cv,Mazda 3,Traction,
2023,Manuelle,,Prix équitable,Diesel,Sousse,https://catalogue.automobile.tn/max/2026/07/128748_max.jpeg?t=1785320780,133900,https://www.automobile.tn/fr/occasion/fiat/doblo/128748,122,38500,5 cv,Fiat Doblo,Traction,
2018,Manuelle,,Prix équitable,Essence,Sfax,https://catalogue.automobile.tn/max/2026/07/128751_max.jpeg?t=1785332216,156000,https://www.automobile.tn/fr/occasion/ford/focus/128751,122,40000,6 cv,Ford Focus,Traction,
2020,Manuelle,,Aucune évaluation,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/07/128752_max.jpeg?t=1785338773,148000,https://www.automobile.tn/fr/occasion/kia/rio-5p/128752,122,52000,5 cv,KIA Rio 5p,Traction,
2008,Manuelle,,Aucune évaluation,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/07/128753_max.jpeg?t=1785360407,220000,https://www.automobile.tn/fr/occasion/ford/mondeo/128753,122,20500,8 cv,Ford Mondeo,Traction,
2024,Automatique,,Bon prix,Hybride,Ariana,https://catalogue.automobile.tn/max/2026/07/128760_max.jpeg?t=1785331543,50000,https://www.automobile.tn/fr/occasion/toyota/yaris-cross/128760,121,90000,5 cv,Toyota Yaris Cross Hybride,Traction,
2014,Automatique,,Aucune évaluation,Hybride,Tunis,https://catalogue.automobile.tn/max/2026/06/127611_max.jpeg?t=1782044733,112000,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-s/127611,121,195000,11 cv,Mercedes-Benz Classe S,Propulsion,
2021,Manuelle,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/07/128766_max.jpeg?t=1785342385,41000,https://www.automobile.tn/fr/occasion/hyundai/i10/128766,121,41000,4 cv,Hyundai i10,Traction,
2016,Manuelle,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/07/128768_max.jpeg?t=1785403043,154000,https://www.automobile.tn/fr/occasion/volkswagen/polo/128768,121,33000,4 cv,Volkswagen Polo,Traction,
2015,Automatique,,Très bon prix,Diesel,Ariana,https://catalogue.automobile.tn/max/2026/07/128774_max.jpeg?t=1785349524,221000,https://www.automobile.tn/fr/occasion/land-rover/discovery-sport/128774,121,64000,9 cv,Land Rover Discovery Sport,Intégrale,
2018,Manuelle,,Prix équitable,Essence,Zaghouan,https://catalogue.automobile.tn/max/2026/07/128779_max.jpeg?t=1785440487,117901,https://www.automobile.tn/fr/occasion/baic/kenbo-s2/128779,121,35000,7 cv,BAIC Kenbo S2,Propulsion,
2022,Automatique,,Aucune évaluation,Hybride,Tunis,https://catalogue.automobile.tn/max/2026/07/128407_max.jpeg?t=1785398084,36000,https://www.automobile.tn/fr/occasion/bmw/x1/128407,121,114000,6 cv,BMW X1,Intégrale,
2021,Manuelle,,Prix équitable,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/07/128783_max.jpeg?t=1785403523,86000,https://www.automobile.tn/fr/occasion/kia/rio-5p/128783,121,59000,5 cv,KIA Rio 5p,Traction,
2023,Manuelle,,Prix élevé,Essence,Ariana,https://catalogue.automobile.tn/max/2026/07/128738_max.jpeg?t=1785400782,85000,https://www.automobile.tn/fr/occasion/hyundai/grand-i10/128738,121,44900,5 cv,Hyundai Grand i10,Traction,
2022,Automatique,,Prix équitable,Essence,Sfax,https://catalogue.automobile.tn/max/2026/07/127946_max.jpeg?t=1785062295,28000,https://www.automobile.tn/fr/occasion/suzuki/swift/127946,121,48000,5 cv,Suzuki Swift,Traction,
2022,Automatique,,Bon prix,Essence,Monastir,https://catalogue.automobile.tn/max/2026/07/128650_max.jpeg?t=1785411685,29000,https://www.automobile.tn/fr/occasion/cupra/formentor/128650,120,115000,11 cv,Cupra Formentor,Intégrale,
2025,Automatique,,Aucune évaluation,Electrique,Monastir,https://catalogue.automobile.tn/max/2026/07/128798_max.jpeg?t=1785421561,5000,https://www.automobile.tn/fr/occasion/byd/sealion-6/128798,120,110000,5 cv,BYD Sealion 6,Intégrale,
2021,Automatique,,Prix élevé,Essence,Tunis,https://catalogue.automobile.tn/max/2026/07/128805_max.jpeg?t=1785454261,107000,https://www.automobile.tn/fr/occasion/kia/picanto/128805,120,42800,4 cv,KIA Picanto,Traction,
2018,Automatique,,Très bon prix,Essence,Nabeul,https://catalogue.automobile.tn/max/2026/07/128811_max.jpeg?t=1785454553,45000,https://www.automobile.tn/fr/occasion/audi/q5/128811,120,105000,15 cv,Audi Q5,Intégrale,
2022,Automatique,,Très bon prix,Hybride,Sidi Bouzid,https://catalogue.automobile.tn/max/2026/07/128350_max.jpeg?t=1784118370,57000,https://www.automobile.tn/fr/occasion/mercedes-benz/cla/128350,120,128000,8 cv,Mercedes-Benz CLA,Intégrale,
2010,Automatique,,Aucune évaluation,Diesel,Sousse,https://catalogue.automobile.tn/max/2026/07/128816_max.jpeg?t=1785443206,48000,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-g/128816,120,250000,16 cv,Mercedes-Benz Classe G,Intégrale,
2017,Automatique,,Prix équitable,Essence,Sousse,https://catalogue.automobile.tn/max/2026/07/128818_max.jpeg?t=1785454155,220000,https://www.automobile.tn/fr/occasion/volkswagen/golf-7/128818,120,54000,6 cv,Volkswagen Golf 7,Traction,
2011,Manuelle,,Aucune évaluation,Diesel,Ben Arous,https://catalogue.automobile.tn/max/2026/07/128298_max.jpeg?t=1785453913,254000,https://www.automobile.tn/fr/occasion/jeep/patriot/128298,120,60000,10 cv,Jeep Patriot,Intégrale,
2025,Manuelle,,Prix élevé,Essence,Ariana,https://catalogue.automobile.tn/max/2026/07/127912_max.jpeg?t=1785481279,14300,https://www.automobile.tn/fr/occasion/dfsk/glory-500/127912,120,63000,7 cv,DFSK Glory 500,Traction,
2021,Manuelle,,Prix équitable,Essence,Sfax,https://catalogue.automobile.tn/max/2026/07/128112_max.jpeg?t=1785229939,32966,https://www.automobile.tn/fr/occasion/ssangyong/tivoli/128112,120,64000,6 cv,Ssangyong Tivoli,Traction,
2019,Manuelle,,Aucune évaluation,Essence,Ariana,https://catalogue.automobile.tn/max/2026/07/128793_max.jpeg?t=1785410784,144000,https://www.automobile.tn/fr/occasion/seat/ibiza/128793,119,55000,4 cv,Seat Ibiza,Traction,
2025,Automatique,,Prix équitable,Hybride,Tunis,https://catalogue.automobile.tn/max/2026/07/128718_max.jpeg?t=1785419245,21000,https://www.automobile.tn/fr/occasion/mercedes-benz/glc-coupe/128718,119,300000,11 cv,Mercedes-Benz GLC Coupé,Intégrale,
2018,Manuelle,,Prix équitable,Essence,Sfax,https://catalogue.automobile.tn/max/2026/07/127993_max.jpeg?t=1785506675,64800,https://www.automobile.tn/fr/occasion/mahindra/kuv-100/127993,119,30000,5 cv,Mahindra KUV 100,Traction,
2022,Automatique,,Bon prix,Hybride,Monastir,https://catalogue.automobile.tn/max/2026/07/128142_max.jpeg?t=1783591920,37000,https://www.automobile.tn/fr/occasion/bmw/x3/128142,119,168000,10 cv,BMW X3,Traction,
2000,Manuelle,,Aucune évaluation,Essence,Tunis,https://catalogue.automobile.tn/max/2026/07/128834_max.jpeg?t=1785515120,250000,https://www.automobile.tn/fr/occasion/opel/corsa/128834,119,12000,4 cv,Opel Corsa,Intégrale,
2010,Manuelle,,Bon prix,Essence,Tunis,https://catalogue.automobile.tn/max/2026/07/128836_max.jpeg?t=1785857920,162000,https://www.automobile.tn/fr/occasion/kia/rio/128836,119,25500,6 cv,KIA Rio Berline,Traction,
2018,Manuelle,,Prix équitable,Diesel,Nabeul,https://catalogue.automobile.tn/max/2026/07/128837_max.jpeg?t=1785525967,270350,https://www.automobile.tn/fr/occasion/volkswagen/golf-7/128837,119,59500,6 cv,Volkswagen Golf 7,Propulsion,
2017,Automatique,,Prix équitable,Essence,Sousse,https://catalogue.automobile.tn/max/2026/06/123302_max.jpeg?t=1784089438,214000,https://www.automobile.tn/fr/occasion/great-wall/h6/123302,119,47000,9 cv,GWM Haval H6,Traction,
2019,Automatique,,Prix équitable,Essence,Sfax,https://catalogue.automobile.tn/max/2026/07/128839_max.jpeg?t=1785857860,97000,https://www.automobile.tn/fr/occasion/volkswagen/golf-7/128839,119,65000,6 cv,Volkswagen Golf 7,Traction,
2017,Automatique,,Très bon prix,Essence,Sfax,https://catalogue.automobile.tn/max/2026/07/128801_max.jpeg?t=1785414400,150000,https://www.automobile.tn/fr/occasion/bmw/serie-5/128801,119,75000,9 cv,BMW Série 5,Propulsion,
2020,Manuelle,,Prix équitable,Diesel,Sousse,https://catalogue.automobile.tn/max/2026/08/128853_max.jpeg?t=1785857851,231527,https://www.automobile.tn/fr/occasion/peugeot/partner/128853,118,35000,5 cv,Peugeot Partner,Traction,
2024,Manuelle,,Bon prix,Diesel,Sousse,https://catalogue.automobile.tn/max/2026/08/128855_max.jpeg?t=1785857804,79284,https://www.automobile.tn/fr/occasion/peugeot/landtrek-simple-cabine/128855,118,55000,6 cv,Peugeot Landtrek Simple Cabine,Propulsion,
2023,Automatique,,Très bon prix,Hybride,Ariana,https://catalogue.automobile.tn/max/2026/07/128402_max.jpeg?t=1785585477,80000,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-c/128402,118,155000,9 cv,Mercedes-Benz Classe C,Propulsion,
2012,Automatique,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/128857_max.jpeg?t=1785587131,210000,https://www.automobile.tn/fr/occasion/bmw/serie-1-5p/128857,118,45000,7 cv,BMW Série 1,Traction,
2011,Automatique,,Bon prix,Essence,Ariana,https://catalogue.automobile.tn/max/2026/07/127952_max.jpeg?t=1785589472,230000,https://www.automobile.tn/fr/occasion/renault/fluence/127952,118,25000,7 cv,Renault Fluence,Traction,
2021,Automatique,,Bon prix,Diesel,Sousse,https://catalogue.automobile.tn/max/2026/07/128510_max.jpeg?t=1784640326,156000,https://www.automobile.tn/fr/occasion/kia/sorento/128510,118,120000,12 cv,KIA Sorento,Intégrale,
2025,Automatique,,Aucune évaluation,Hybride,Sousse,https://catalogue.automobile.tn/max/2026/07/128285_max.jpeg?t=1784639057,20000,https://www.automobile.tn/fr/occasion/mercedes-benz/gle/128285,118,320000,12 cv,Mercedes-Benz GLE,Intégrale,
2017,Manuelle,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/128866_max.jpeg?t=1785597924,107500,https://www.automobile.tn/fr/occasion/peugeot/301/128866,118,28500,5 cv,Peugeot 301,Traction,
2010,Manuelle,,Prix très élevé,Essence,Tunis,https://catalogue.automobile.tn/max/2026/07/128725_max.jpeg?t=1785336394,260000,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-c/128725,118,42500,9 cv,Mercedes-Benz Classe C,Propulsion,
2019,Manuelle,,Prix très élevé,Essence,Tunis,https://catalogue.automobile.tn/max/2026/07/128731_max.jpeg?t=1785277614,148000,https://www.automobile.tn/fr/occasion/seat/arona/128731,118,61500,6 cv,Seat Arona,Traction,
2022,Automatique,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/03/124077_max.jpeg?t=1772553177,14000,https://www.automobile.tn/fr/occasion/seat/leon/124077,117,93000,8 cv,Seat Leon,Traction,
2007,Automatique,,Prix élevé,Diesel,Tunis,https://catalogue.automobile.tn/max/2025/11/120030_max.jpeg?t=1785611392,295000,https://www.automobile.tn/fr/occasion/bmw/x5/120030,117,59000,16 cv,BMW X5,Intégrale,
2021,Manuelle,,Prix très élevé,Essence,Tunis,https://catalogue.automobile.tn/max/2026/05/126765_max.jpeg?t=1779528365,150000,https://www.automobile.tn/fr/occasion/mazda/3-sedan/126765,117,65000,6 cv,Mazda 3 sedan,Traction,
2019,Automatique,,Prix équitable,Essence,Sousse,https://catalogue.automobile.tn/max/2026/07/128659_max.jpeg?t=1785626870,100000,https://www.automobile.tn/fr/occasion/audi/q2/128659,117,75000,7 cv,Audi Q2,Traction,
2022,Automatique,,Prix équitable,Hybride,Sousse,https://catalogue.automobile.tn/max/2026/07/128398_max.jpeg?t=1785626916,94000,https://www.automobile.tn/fr/occasion/bmw/x3/128398,117,158400,10 cv,BMW X3,Intégrale,
2014,Automatique,,Aucune évaluation,Essence,Ben Arous,https://catalogue.automobile.tn/max/2026/07/128835_max.jpeg?t=1785857925,225900,https://www.automobile.tn/fr/occasion/kia/sportage/128835,117,48000,10 cv,KIA Sportage,Traction,
2013,Manuelle,,Bon prix,Diesel,Ariana,https://catalogue.automobile.tn/max/2026/07/127915_max.jpeg?t=1782945291,233000,https://www.automobile.tn/fr/occasion/volkswagen/golf-7/127915,117,50000,5 cv,Volkswagen Golf 7,Traction,
2011,Manuelle,,Aucune évaluation,Diesel,Nabeul,https://catalogue.automobile.tn/max/2026/08/128885_max.jpeg?t=1785857525,248000,https://www.automobile.tn/fr/occasion/volkswagen/caddy/128885,117,24000,8 cv,Volkswagen Caddy,Traction,
2019,Automatique,,Prix équitable,Essence,Ariana,https://catalogue.automobile.tn/max/2026/08/128772_max.jpeg?t=1785663950,91000,https://www.automobile.tn/fr/occasion/hyundai/grand-i10/128772,117,40000,5 cv,Hyundai Grand i10,Traction,
2020,Automatique,,Prix équitable,Essence,Nabeul,https://catalogue.automobile.tn/max/2026/08/128888_max.jpeg?t=1785857511,125000,https://www.automobile.tn/fr/occasion/volkswagen/tiguan/128888,117,108000,8 cv,Volkswagen Tiguan,Traction,
2005,Manuelle,,Très bon prix,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/128889_max.jpeg?t=1785857504,2000,https://www.automobile.tn/fr/occasion/ford/fiesta/128889,116,17000,5 cv,Ford Fiesta,Propulsion,
2015,Automatique,,Aucune évaluation,Diesel,Sfax,https://catalogue.automobile.tn/max/2026/08/128890_max.jpeg?t=1785680775,200000,https://www.automobile.tn/fr/occasion/toyota/rav-4/128890,116,75000,8 cv,Toyota RAV 4,Traction,
2022,Automatique,,Prix équitable,Essence,Sousse,https://catalogue.automobile.tn/max/2026/06/127864_max.jpeg?t=1785669907,50000,https://www.automobile.tn/fr/occasion/hyundai/i20/127864,116,65900,5 cv,Hyundai i20,Traction,
2021,Manuelle,,Prix élevé,Diesel,Tunis,https://catalogue.automobile.tn/max/2026/08/128902_max.jpeg?t=1787081120,126000,https://www.automobile.tn/fr/occasion/peugeot/expert/128902,116,58000,9 cv,Peugeot Expert,Traction,
2017,Automatique,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/128905_max.jpeg?t=1785857238,128000,https://www.automobile.tn/fr/occasion/volkswagen/tiguan/128905,116,76000,8 cv,Volkswagen Tiguan,Traction,
2008,Manuelle,,Bon prix,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/128906_max.jpeg?t=1785857235,219540,https://www.automobile.tn/fr/occasion/peugeot/206/128906,116,20000,5 cv,Peugeot 206,Intégrale,
2021,Automatique,,Bon prix,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/128907_max.jpeg?t=1785857230,97000,https://www.automobile.tn/fr/occasion/audi/a5-sportback/128907,116,115000,8 cv,Audi A5 Sportback,Traction,
2013,Automatique,,Aucune évaluation,Hybride,Tunis,https://catalogue.automobile.tn/max/2026/08/128912_max.jpeg?t=1785857214,109954,https://www.automobile.tn/fr/occasion/audi/q5/128912,116,75000,12 cv,Audi Q5,Intégrale,
2022,Manuelle,,Prix élevé,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/128863_max.jpeg?t=1785703808,3843,https://www.automobile.tn/fr/occasion/volkswagen/polo/128863,116,68000,4 cv,Volkswagen Polo,Traction,
2020,Manuelle,,Très bon prix,Diesel,Sousse,https://catalogue.automobile.tn/max/2026/08/128920_max.jpeg?t=1785857112,240000,https://www.automobile.tn/fr/occasion/fiat/doblo-maxi/128920,116,24900,5 cv,Fiat Doblo Maxi,Traction,
2024,Automatique,,Prix équitable,Hybride,La Manouba,https://catalogue.automobile.tn/max/2026/07/128616_max.jpeg?t=1785754650,32000,https://www.automobile.tn/fr/occasion/toyota/rav-4/128616,115,148000,9 cv,Toyota RAV 4,Traction,
2006,Manuelle,,Aucune évaluation,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/128929_max.jpeg?t=1785857026,240000,https://www.automobile.tn/fr/occasion/land-rover/range-rover-velar/128929,115,24000,9 cv,Land Rover Range Rover Velar,Traction,
2014,Manuelle,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/128932_max.jpeg?t=1785857015,199000,https://www.automobile.tn/fr/occasion/ford/fiesta/128932,115,33000,5 cv,Ford Fiesta,Traction,
2026,Automatique,,Prix très élevé,Hybride,Tunis,https://catalogue.automobile.tn/max/2026/08/128933_max.jpeg?t=1785763535,200,https://www.automobile.tn/fr/occasion/byd/song-plus/128933,115,120000,5 cv,BYD Song Plus,Traction,
2019,Automatique,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/128934_max.jpeg?t=1785767153,200500,https://www.automobile.tn/fr/occasion/mg/zs/128934,115,49000,7 cv,MG ZS,Traction,
2023,Automatique,,Prix équitable,Essence,Nabeul,https://catalogue.automobile.tn/max/2026/08/128942_max.jpeg?t=1785781562,68000,https://www.automobile.tn/fr/occasion/seat/ateca/128942,115,93000,8 cv,Seat Ateca,Traction,
2022,Automatique,,Prix équitable,Hybride,Tunis,https://catalogue.automobile.tn/max/2026/08/128910_max.jpeg?t=1785779445,35000,https://www.automobile.tn/fr/occasion/mercedes-benz/classe-c/128910,115,229000,11 cv,Mercedes-Benz Classe C,Propulsion,
2021,Manuelle,,Prix équitable,Essence,Ariana,https://catalogue.automobile.tn/max/2026/08/128948_max.jpeg?t=1785856926,66000,https://www.automobile.tn/fr/occasion/chery/tiggo-2/128948,115,45000,6 cv,Chery Tiggo 2,Traction,
2014,Automatique,,Aucune évaluation,Essence,Tunis,https://catalogue.automobile.tn/max/2026/08/128915_max.jpeg?t=1785786749,182000,https://www.automobile.tn/fr/occasion/jaguar/xf/128915,115,55000,15 cv,Jaguar XF,Propulsion,
2004,Manuelle,,Aucune évaluation,Diesel,Ben Arous,https://catalogue.automobile.tn/max/2026/08/128951_max.jpeg?t=1785856863,500000,https://www.automobile.tn/fr/occasion/audi/a3-sportback/128951,115,23000,6 cv,Audi A3 Sportback,Traction,
2022,Automatique,,Aucune évaluation,Essence,Médenine,https://catalogue.automobile.tn/max/2026/07/128462_max.jpeg?t=1785823954,160000,https://www.automobile.tn/fr/occasion/volkswagen/taigo/128462,114,82000,6 cv,Volkswagen Taigo,Traction,
2015,Manuelle,,Prix équitable,Essence,Jendouba,https://catalogue.automobile.tn/max/2026/08/128972_max.jpeg?t=1785857165,114000,https://www.automobile.tn/fr/occasion/mazda/2/128972,114,37000,5 cv,Mazda 2,Traction,
2015,Manuelle,,Prix équitable,Essence,Tunis,https://catalogue.automobile.tn/max/2026/07/128461_max.jpeg?t=1785847641,221500,https://www.automobile.tn/fr/occasion/mazda/2-sedan/128461,114,32900,6 cv,Mazda 2 Sedan,Traction,
